candle_begin_time,candle_end_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,vwap_1m_open,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-01-01T05:40:00.000+0000,2026-01-01T05:45:00.000+0000,87667.7,87674.4,87654.4,87674.3,48.179,4223703.2605,1272,19.671,1724474.0589,87662.29472240509,94822.683,8313516315.337173,3.07045264,2.510623,2.69078852,0.729531
2026-01-01T05:45:00.000+0000,2026-01-01T05:50:00.000+0000,87674.4,87680.6,87667.5,87667.5,38.819,3403497.6291,1284,16.419,1439566.3525999999,87674.5791263874,94823.584,8313577507.051962,3.07237201,2.510814,2.69282906,0.733002
2026-01-01T05:50:00.000+0000,2026-01-01T05:55:00.000+0000,87667.5,87700.0,87667.5,87674.6,61.782,5417071.6394,1707,35.739000000000004,3133567.3505,87677.13573870575,94822.691,8313550986.6177,3.07244068,2.511328,2.69295877,1.385004
2026-01-01T05:55:00.000+0000,2026-01-01T06:00:00.000+0000,87674.6,87674.7,87674.6,87674.7,19.419999999999998,1702641.6659000001,699,9.339,818794.0232999999,87674.6662391476,94825.469,8313794546.9343,3.07264115,2.511489,2.69328157,0.920842
2026-01-01T06:00:00.000+0000,2026-01-01T06:05:00.000+0000,87674.7,87674.7,87630.2,87643.2,110.19300000000001,9657897.079300001,2532,31.091,2724902.7344000004,87673.39171104423,94845.029,8312524099.94083,3.07483649,2.50844,2.69454695,0.396013
2026-01-01T06:05:00.000+0000,2026-01-01T06:10:00.000+0000,87643.2,87643.2,87605.0,87609.2,78.242,6855624.3643,2223,25.343000000000004,2220518.9628999997,87643.1575422491,94835.628,8308482984.1404,3.07631667,2.508864,2.69377621,0.516494
2026-01-01T06:10:00.000+0000,2026-01-01T06:15:00.000+0000,87609.3,87625.4,87602.8,87624.6,159.645,13986965.867199998,2314,78.86100000000002,6909162.090500001,87614.44317042473,94779.6,8304958192.44,3.07639413,2.505424,2.69202419,1.035134
2026-01-01T06:15:00.000+0000,2026-01-01T06:20:00.000+0000,87624.6,87635.3,87621.4,87621.5,51.639,4525034.9742,1220,22.348999999999997,1958403.8304000003,87626.29148850343,94771.61,8304030625.615,3.07869458,2.506363,2.69297295,0.822752
2026-01-01T06:20:00.000+0000,2026-01-01T06:25:00.000+0000,87621.4,87630.3,87621.4,87630.2,21.87,1916407.9332,662,15.758000000000001,1380812.9956,87623.97550415751,94776.624,8305300730.632429,3.07838121,2.506185,2.69378463,2.701293
2026-01-01T06:25:00.000+0000,2026-01-01T06:30:00.000+0000,87630.2,87635.3,87623.1,87632.6,35.188,3083576.3333000005,1102,17.264000000000003,1512853.9719999998,87630.26986056489,94770.102,8304956629.425111,3.08085089,2.506259,2.6965125,0.962836
2026-01-01T06:30:00.000+0000,2026-01-01T06:35:00.000+0000,87632.6,87646.7,87632.6,87646.7,76.35499999999999,6691739.7061,1517,59.95,5253984.591700001,87632.63989698891,94769.252,8306217864.821632,3.08290656,2.507074,2.69814368,3.698711
2026-01-01T06:35:00.000+0000,2026-01-01T06:40:00.000+0000,87646.6,87646.8,87637.5,87646.8,32.09,2812384.3082999997,978,16.355,1433353.4287999999,87645.11258351893,94772.698,8306523707.0664,3.0832319,2.507494,2.69847429,1.150445
2026-01-01T06:40:00.000+0000,2026-01-01T06:45:00.000+0000,87646.7,87646.8,87621.6,87630.6,112.39399999999999,9849625.1559,1800,27.404,2401646.8732,87643.68367105708,94795.113,8306952629.2578,3.08699122,2.504963,2.70132626,0.324375
2026-01-01T06:45:00.000+0000,2026-01-01T06:50:00.000+0000,87630.6,87635.6,87630.6,87630.7,25.379,2224050.0730000003,869,13.535,1186126.6043,87632.77886914377,94793.803,8306847312.5521,3.08501973,2.505086,2.70017836,1.270434
2026-01-01T06:50:00.000+0000,2026-01-01T06:55:00.000+0000,87630.6,87630.7,87626.0,87626.0,37.766,3309366.2641,810,10.065999999999999,882056.8424,87630.63353401565,94798.79,8306842988.337938,3.08564951,2.5055,2.69986265,0.370038
2026-01-01T06:55:00.000+0000,2026-01-01T07:00:00.000+0000,87626.0,87630.1,87621.5,87621.5,38.202999999999996,3347625.9384000003,868,25.348000000000003,2221181.1621,87626.85718866916,94791.261,8305761954.8376,3.08586304,2.505669,2.69996627,1.988627
2026-01-01T07:00:00.000+0000,2026-01-01T07:05:00.000+0000,87621.6,87626.6,87618.2,87619.8,74.06700000000001,6489894.039700001,1583,48.00000000000001,4205839.0216,87621.75157924423,94784.74,8305019961.852,3.08888516,2.506685,2.70112533,1.931895
2026-01-01T07:05:00.000+0000,2026-01-01T07:10:00.000+0000,87619.7,87640.1,87619.7,87628.5,102.09700000000001,8946676.9578,1622,76.241,6680918.3328,87621.03074931684,94750.34,8302911290.773079,3.08960679,2.504807,2.70230148,2.951579
2026-01-01T07:10:00.000+0000,2026-01-01T07:15:00.000+0000,87628.4,87628.5,87558.5,87615.5,149.36599999999999,13083754.115899999,4246,51.501,4510852.6123,87627.51337061515,94747.329,8301629028.577642,3.09174929,2.505502,2.70278019,0.542284
2026-01-01T07:15:00.000+0000,2026-01-01T07:20:00.000+0000,87615.5,87639.7,87615.4,87637.8,107.587,9428045.7237,2285,81.257,7120571.5733,87627.57330654164,94785.3,8306775164.34,3.08992443,2.507082,2.70142751,3.148573
2026-01-01T07:20:00.000+0000,2026-01-01T07:25:00.000+0000,87637.8,87637.8,87620.5,87626.2,67.831,5943880.3696,1348,25.817999999999998,2262384.8568,87631.26528034205,94784.898,8305807543.07418,3.09061135,2.506291,2.70232334,0.670693
2026-01-01T07:25:00.000+0000,2026-01-01T07:30:00.000+0000,87626.2,87626.3,87570.0,87572.6,86.967,7618400.1741,2016,19.827,1736706.7069,87626.23096799075,94792.161,8301199722.002893,3.09137098,2.506681,2.70261422,0.308719
2026-01-01T07:30:00.000+0000,2026-01-01T07:35:00.000+0000,87572.7,87631.0,87572.7,87631.0,68.55,6005127.4498,2147,41.044,3595644.7785,87588.36624756287,94801.127,8307589046.369687,3.08751836,2.506259,2.7012512,1.650008
2026-01-01T07:35:00.000+0000,2026-01-01T07:40:00.000+0000,87630.9,87637.5,87613.5,87618.8,87.254,7645549.6324000005,2033,59.55,5217890.732999999,87627.422353335,94830.43,8308928480.084,3.08874995,2.503066,2.70362525,2.163623
2026-01-01T07:40:00.000+0000,2026-01-01T07:45:00.000+0000,87618.8,87627.5,87608.2,87608.3,83.254,7294669.0099,1552,30.612,2682230.3336,87622.74905982905,94844.474,8309156611.319949,3.09539418,2.504654,2.70841266,0.600294
2026-01-01T07:45:00.000+0000,2026-01-01T07:50:00.000+0000,87608.2,87618.5,87590.4,87618.4,56.208000000000006,4924213.5112000005,1722,37.442,3280170.9301,87599.55756854532,94843.066,8309997694.0144,3.09606657,2.504868,2.7089117,2.054417
2026-01-01T07:50:00.000+0000,2026-01-01T07:55:00.000+0000,87618.4,87640.1,87618.4,87640.1,72.693,6370226.7973,1575,47.406000000000006,4154237.8098999998,87629.11703561615,94854.213,8313032712.7413,3.09843165,2.505235,2.71158854,1.899917
2026-01-01T07:55:00.000+0000,2026-01-01T08:00:00.000+0000,87640.0,87640.1,87580.9,87603.7,173.997,15242143.412700001,2950,49.501999999999995,4336052.0301,87604.31279385409,94803.714,8305167684.821202,3.1037037,2.506864,2.71576128,0.415594
2026-01-01T08:00:00.000+0000,2026-01-01T08:05:00.000+0000,87603.7,87679.2,87590.0,87638.6,414.4630000000001,36324107.0761,6707,272.573,23888337.0981,87600.77918810546,94703.666,8299696703.1076,3.10123177,2.522036,2.71160101,1.895454
2026-01-01T08:05:00.000+0000,2026-01-01T08:10:00.000+0000,87638.5,87799.5,87638.5,87785.6,587.833,51565813.849199995,10375,468.296,41079310.7123,87649.05118362125,94727.502,8316135289.046831,3.09964278,2.538479,2.71674068,3.923803
2026-01-01T08:10:00.000+0000,2026-01-01T08:15:00.000+0000,87785.6,87790.1,87713.8,87731.1,251.86700000000002,22102198.6076,4539,115.021,10093315.927099999,87781.96591166478,94666.419,8305206294.35963,3.10459001,2.54384,2.72046959,0.9268
2026-01-01T08:15:00.000+0000,2026-01-01T08:20:00.000+0000,87731.1,87746.8,87683.0,87706.9,159.43800000000002,13985569.3972,4057,80.93299999999999,7099141.0977,87733.5903207199,94663.513,8302922521.58708,3.10805236,2.544169,2.72284092,1.094156
2026-01-01T08:20:00.000+0000,2026-01-01T08:25:00.000+0000,87706.9,87720.2,87706.7,87706.7,43.925,3852711.0801,1188,24.383,2138642.2604,87714.7113182213,94671.765,8303381926.877037,3.10903427,2.544236,2.72420625,1.395072
2026-01-01T08:25:00.000+0000,2026-01-01T08:30:00.000+0000,87706.7,87710.0,87706.7,87710.0,26.82,2352301.5664,797,16.784,1472074.6132,87706.76744268078,94672.683,8303741025.93,3.10833789,2.544406,2.72444122,1.745019
2026-01-01T08:30:00.000+0000,2026-01-01T08:35:00.000+0000,87709.9,87755.3,87709.9,87749.8,172.07399999999998,15096294.4767,3382,134.773,11823792.4496,87710.1990010977,94713.099,8311055494.6302,3.10823549,2.545679,2.72485264,3.719429
2026-01-01T08:35:00.000+0000,2026-01-01T08:40:00.000+0000,87749.7,87749.8,87700.3,87711.2,116.537,10223457.6282,2318,38.557,3382301.2949,87748.83435773864,94731.856,8309669998.2368,3.11109239,2.54634,2.72612173,0.567763
2026-01-01T08:40:00.000+0000,2026-01-01T08:45:00.000+0000,87711.3,87715.5,87666.3,87666.4,173.19299999999998,15187568.923999999,3298,52.831999999999994,4632998.4916,87712.12579018157,94759.348,8307201429.5724,3.11339598,2.541155,2.72872135,0.45494
2026-01-01T08:45:00.000+0000,2026-01-01T08:50:00.000+0000,87666.3,87700.4,87666.3,87694.1,78.10900000000001,6849068.9157,1659,53.772,4715017.2692,87674.69484212363,94763.844,8310239488.5048,3.11215032,2.540429,2.72753861,2.416239
